"R_PR_sectionsNUM","R_PR_sowsinsecNUM","R_PR_sowsNUM","R_PR_areaPB_NUM","R_PR_areaNUM","R_PR_crareaNUM","R_PR_nonoise","R_PR_air","R_PR_CNUM","R_PR_floorsolidNUM","R_PR_bedmat","R_PR_bedmatamount","R_PR_dirtNUM","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
6,"48","8","3,0","3,0","",0,0,17,70,0,0,10,5,0,34,0,29,0,2,7,2,2,0,1,4,2,13,19,2,2,2
1,"27","27","3,1","2,1","",1,0,19,80,1,2,0,5,0,38,0,33,0,0,0,0,0,0,0,8,0,0,8,1,1,1
1,"200","12","4,1","4,1","1,5",0,0,18,99,1,1,0,8,0,53,1,45,1,0,5,5,3,2,3,2,2,5,11,2,1,1
5,"60","20","2,6","2,6","1,9",1,1,25,40,0,0,20,27,1,57,1,30,0,3,5,4,0,7,3,3,1,7,20,1,1,2
NA,"365","12","3,8","3,8","2,0",0,1,18,70,0,0,NA,10,1,65,1,55,1,2,11,29,1,0,0,6,2,15,45,2,2,2
1,"32","6","4,4","","0,0",0,0,23,100,1,1,0,0,0,64,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"120","20","2,3","2,3","1,9",1,1,19,80,0,0,0,17,1,47,1,30,0,3,14,10,1,1,0,7,7,16,32,2,2,2
2,"60","7","5,6","2,3","1,6",0,0,12,100,1,1,0,13,1,44,0,31,0,4,0,1,0,0,0,0,0,4,4,1,1,1
1,"66","16","3,5","3,4","1,4",1,0,28,67,1,3,20,0,0,24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"72","36","3,5","3,5","1,2",1,0,25,100,1,1,20,6,0,34,0,28,0,1,5,1,1,0,0,8,3,15,18,2,2,1
1,"75","8","3,2","3,2","1,7",0,0,16,70,1,2,0,9,0,38,0,29,0,0,4,11,0,0,0,7,0,4,19,1,1,1
1,"80","10","2,7","2,7","1,7",0,1,17,65,0,0,100,5,0,41,0,36,0,3,15,1,1,0,6,3,0,35,35,1,2,2
6,"50","18","2,0","2,0","0,0",1,1,21,72,0,0,80,10,1,79,1,70,1,4,6,26,1,1,1,7,5,10,44,2,1,2
1,"24","6","4,1","2,4","1,1",1,1,22,100,1,1,0,8,0,35,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"75","7","3,1","3,1","1,8",1,0,21,50,1,3,20,9,0,50,1,42,1,2,4,2,0,0,0,1,1,8,8,1,1,1
1,"10","10","2,5","","",0,0,20,43,1,3,30,4,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,"80","7","2,8","2,8","1,1",1,0,21,100,1,2,30,8,0,48,1,40,1,2,7,14,2,0,0,7,5,16,33,2,2,2
2,"14","2,5","3,5","3,5","",0,0,22,100,1,3,10,2,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,"100","100","5,0","","",0,0,21,75,1,1,0,5,0,43,0,38,1,2,4,1,0,0,2,2,1,8,11,1,1,1
1,"70","20","3,9","1,5","1,2",0,0,17,100,1,1,10,7,0,45,0,38,1,5,16,0,0,0,0,5,2,28,28,2,2,2
5,"84","7","2,5","2,5","",1,0,21,60,0,0,100,8,0,35,0,27,0,1,9,2,1,0,0,3,1,13,15,1,2,1
1,"60","10","3,1","","1,2",0,0,18,100,1,1,NA,4,0,34,0,30,0,5,7,14,0,0,0,2,2,7,23,2,1,2
1,"204","14","2,0","1,7","1,7",1,0,21,20,0,0,10,5,0,49,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"320","10","2,7","2,7","2,0",1,1,22,70,0,0,30,23,1,69,1,45,1,5,9,32,1,0,0,12,1,19,49,1,2,2
1,"160","8","3,3","3,3","1,3",0,0,26,65,1,2,20,11,1,45,0,34,0,2,7,1,1,0,0,1,1,11,12,1,1,1
2,"288","18","2,6","2,6","",1,0,21,50,1,3,90,14,1,58,1,45,1,3,5,2,1,0,0,2,1,11,12,1,1,1
2,"27","11","4,6","","1,4",1,0,22,100,1,1,0,2,0,43,0,41,1,11,5,0,0,0,0,0,0,16,16,1,2,1
1,"72","8","2,2","2,2","1,0",1,0,19,30,1,3,10,17,1,53,1,35,0,13,0,0,0,0,13,7,7,20,33,2,2,2
1,"90","15","3,5","3,5","1,7",1,0,19,75,0,0,10,11,1,60,1,49,1,1,8,36,3,0,0,13,0,9,49,1,1,2
2,"300","7","2,9","2,9","1,6",1,0,24,60,1,2,20,19,1,51,1,32,0,2,8,2,0,0,0,1,1,10,11,2,1,1
1,"120","10","2,8","2,8","2,0",0,0,19,60,0,0,NA,7,0,46,1,39,1,3,15,31,2,0,0,23,4,20,55,2,2,2
2,"90","8","3,0","3,2","",1,0,27,67,1,3,70,14,1,94,1,80,1,4,7,4,4,7,5,5,2,14,27,2,2,2
1,"36","4","5,0","2,5","",1,0,19,60,1,3,NA,10,1,24,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"all","4","3,4","","1,9",0,1,28,100,1,2,10,15,1,38,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"44","16","2,3","2,3","1,7",0,0,26,60,0,0,10,17,1,52,1,35,0,2,12,28,2,0,0,9,4,19,47,2,2,2
6,"250","6","2,5","2,5","",0,0,19,60,1,3,10,12,1,68,1,56,1,2,4,0,0,0,0,2,0,8,8,1,1,1
3,"144","36","1,4","1,4","1,1",1,0,19,85,1,2,20,6,0,45,0,39,1,0,5,1,1,0,0,2,1,9,11,1,1,1
1,"90","4","2,7","","1,8",1,0,18,65,1,2,20,7,0,57,1,50,1,4,9,0,3,0,0,3,0,15,15,1,2,1
1,"600","75","2,7","2,7","",0,1,21,20,0,0,40,19,1,61,1,42,1,3,15,29,2,0,0,8,3,19,47,2,2,2
1,"115","12","4,0","4,8","0,8",0,0,18,100,1,1,0,11,1,41,0,35,0,2,10,23,2,0,0,7,2,11,39,2,2,2
8,"34","34","3,2","3,2","1,6",1,0,25,80,1,1,10,6,0,44,0,33,0,4,4,1,0,0,0,2,1,11,12,1,1,1
2,"27","7","4,8","1,2","1,1",1,1,17,70,1,1,0,14,1,121,1,107,1,0,2,0,2,11,0,8,2,0,19,2,1,1
6,"500","12","2,7","2,7","",1,1,18,80,1,1,20,16,1,58,1,42,1,5,10,5,1,0,0,4,4,19,24,2,2,2
