"MG_PR_earlyHAR_kaNUM","MG_PR_type","MG_PR_rootyn","MG_PR_toyyn","MG_PR_toy","MG_PR_kuivaliete","MG_PR_ruok_0nonlock_1lock","MG_PR_feedtype","MG_PR_calm","MG_PR_dirt_NUM_NO","MG_PR_animdirtmed","MG_PR_ster","MG_PR_late_HAR_kaNUM_NO","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
"0,9",2,1,0,0,2,0,3,1,20,1,0,"0,9",5,0,34,0,29,0
"0,15",1,1,0,0,1,0,1,1,0,1,0,"0,15",5,0,38,0,33,0
"0",12,1,0,0,1,0,25,1,10,1,0,"0",8,0,53,1,45,1
"0,2",13,0,0,0,2,1,4,1,20,1,0,"0,1",27,1,57,1,30,0
"1",2,1,0,0,2,0,5,1,20,1,0,"",10,1,65,1,55,1
"0,05",1,1,0,0,1,1,4,1,20,1,0,"",0,0,64,1,64,1
"0,2",2,1,0,0,2,1,4,1,20,1,0,"0,2",17,1,47,1,30,0
"0,6",1,1,0,0,1,0,5,1,10,1,0,"0,6",13,1,44,0,31,0
"0,2",14,1,0,0,2,1,4,1,20,1,0,"0",0,0,24,0,24,0
"0,3",1,1,0,0,1,1,4,1,10,1,0,"0,7",6,0,34,0,28,0
"0,15",13,1,1,4,2,1,4,1,20,1,0,"",9,0,38,0,29,0
"1,2",2,1,0,0,2,0,5,1,40,2,1,"0,53",5,0,41,0,36,0
"1,8",2,0,1,4,2,0,3,1,80,2,0,"1,4",10,1,79,1,70,1
"0,3",12,1,0,0,1,0,34,1,10,1,0,"0",8,0,35,0,27,0
"0",2,1,1,4,2,1,4,1,0,1,0,"0",9,0,50,1,42,1
"0,272727272727273",2,1,0,0,2,0,3,1,30,2,0,"0,44",4,0,26,0,22,0
"0",13,1,1,4,2,1,4,1,30,2,0,"0",8,0,48,1,40,1
"0,15",2,1,1,2,12,0,3,1,10,1,0,"0,15",2,0,31,0,29,0
"0,4",1,1,0,0,12,0,1,1,40,2,0,"0,4",5,0,43,0,38,1
"0,1",1,1,0,0,1,1,4,1,10,1,0,"",7,0,45,0,38,1
"0,4",2,0,1,4,2,0,2,1,80,2,1,"0,8",8,0,35,0,27,0
"0,25",1,1,0,0,1,1,4,1,0,1,0,"",4,0,34,0,30,0
"0,3",2,0,1,2,2,1,4,1,10,1,0,"0,8",5,0,49,1,44,1
"1",3,0,0,0,2,1,4,1,30,2,0,"",23,1,69,1,45,1
"0,1",2,1,1,5,2,1,4,1,30,2,0,"",11,1,45,0,34,0
"0,9",2,1,0,0,2,0,2,2,80,2,1,"0,8",14,1,58,1,45,1
"0,1",1,1,0,0,2,1,4,1,10,1,0,"0,3",2,0,43,0,41,1
"0,2",124,1,1,24,2,0,2,1,20,1,0,"0,29",17,1,53,1,35,0
"0,3",123,1,1,1,2,0,5,1,20,1,1,"0,1",11,1,60,1,49,1
"1",2,1,1,4,1,0,3,1,30,2,0,"1,1",19,1,51,1,32,0
"0,6",12,0,0,0,2,1,4,1,0,1,0,"",7,0,46,1,39,1
"0,45",2,1,1,4,2,0,3,1,65,2,0,"",14,1,94,1,80,1
"0,6",2,1,0,0,2,0,2,1,20,1,0,"",10,1,24,0,14,0
"0",2,1,0,0,1,0,2,1,50,2,0,"0,2",15,1,38,0,24,0
"#JAKO/0!",23,1,0,0,2,1,4,1,NA,NA,0,"0,3",17,1,52,1,35,0
"0",2,0,1,14,2,3,3,2,10,1,0,"",12,1,68,1,56,1
"1,45",13,1,0,0,12,1,4,2,35,2,0,"",6,0,45,0,39,1
"0,2",2,1,1,2,2,0,3,1,20,1,0,"",7,0,57,1,50,1
"0,3",1,1,1,4,2,0,1,1,40,2,0,"",19,1,61,1,42,1
"0,6",13,1,0,0,1,1,4,1,20,1,0,"0,9",11,1,41,0,35,0
"0,6",1,1,0,0,12,1,4,1,10,1,0,"",6,0,44,0,33,0
"0,65",1,1,0,0,1,1,4,1,0,1,0,"0,8",14,1,121,1,107,1
"0,5",1,1,1,3,1,0,6,1,30,2,0,"",16,1,58,1,42,1
