"R_PR_sectionsNUM_NO","R_PR_sowsinsecNUM_NO","R_PR_sowsNUM_NO","R_PR_areapersow_NUM_NO","R_PR_areaNUM","R_PR_areapersow","R_PR_crareaNUM_NO","R_PR_nonoise","R_PR_air","R_PR_CNUM_NO","R_PR_floorsolidNUM_NO","R_PR_floorsolid_0791_2","R_PR_bedmatyn","R_PR_bedmatamount","R_PR_floornoslip","R_PR_dirtNUM_NO","R_PR_dirtmed","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
6,"48","8","3,0","3,0",2,"",0,0,17,70,1,0,0,1,10,1,5,0,34,0,29,0
1,"27","27","3,1","2,1",2,"",1,0,19,80,2,1,2,0,0,1,5,0,38,0,33,0
1,"200","12","4,1","4,1",4,"1,5",0,0,18,99,2,1,1,0,0,1,8,0,53,1,45,1
5,"60","20","2,6","2,6",1,"1,9",1,1,25,40,1,0,0,0,20,2,27,1,57,1,30,0
NA,"365","12","3,8","3,8",4,"2,0",0,1,18,70,1,0,0,0,NA,NA,10,1,65,1,55,1
1,"32","6","4,4","",4,"0,0",0,0,23,100,2,1,1,0,0,1,0,0,64,1,64,1
1,"120","20","2,3","2,3",1,"1,9",1,1,19,80,2,0,0,0,0,1,17,1,47,1,30,0
2,"60","7","5,6","2,3",4,"1,6",0,0,12,100,2,1,1,0,0,1,13,1,44,0,31,0
1,"66","16","3,5","3,4",3,"1,4",1,0,28,67,1,1,3,0,20,2,0,0,24,0,24,0
3,"72","36","3,5","3,5",3,"1,2",1,0,25,100,2,1,1,0,20,2,6,0,34,0,28,0
1,"75","8","3,2","3,2",3,"1,7",0,0,16,70,1,1,2,0,0,1,9,0,38,0,29,0
1,"80","10","2,7","2,7",2,"1,7",0,1,17,65,1,0,0,0,100,2,5,0,41,0,36,0
6,"50","18","2,0","2,0",1,"0,0",1,1,21,72,1,0,0,1,80,2,10,1,79,1,70,1
1,"24","6","4,1","2,4",4,"1,1",1,1,22,100,2,1,1,0,0,1,8,0,35,0,27,0
2,"75","7","3,1","3,1",2,"1,8",1,0,21,50,1,1,3,0,20,2,9,0,50,1,42,1
1,"10","10","2,5","",1,"",0,0,20,43,1,1,3,0,30,2,4,0,26,0,22,0
1,"80","7","2,8","2,8",2,"1,1",1,0,21,100,2,1,2,1,30,2,8,0,48,1,40,1
2,"14","2,5","3,5","3,5",3,"",0,0,22,100,2,1,3,0,10,1,2,0,31,0,29,0
1,"100","100","5,0","",4,"",0,0,21,75,1,1,1,0,0,1,5,0,43,0,38,1
1,"70","20","3,9","1,5",4,"1,2",0,0,17,100,2,1,1,0,10,1,7,0,45,0,38,1
5,"84","7","2,5","2,5",1,"",1,0,21,60,1,0,0,0,100,2,8,0,35,0,27,0
1,"60","10","3,1","",2,"1,2",0,0,18,100,2,1,1,0,NA,NA,4,0,34,0,30,0
1,"204","14","2,0","1,7",1,"1,7",1,0,21,20,1,0,0,0,10,1,5,0,49,1,44,1
1,"320","10","2,7","2,7",2,"2,0",1,1,22,70,1,0,0,0,30,2,23,1,69,1,45,1
1,"160","8","3,3","3,3",3,"1,3",0,0,26,65,1,1,2,0,20,2,11,1,45,0,34,0
2,"288","18","2,6","2,6",1,"",1,0,21,50,1,1,3,1,90,2,14,1,58,1,45,1
2,"27","11","4,6","",4,"1,4",1,0,22,100,2,1,1,0,0,1,2,0,43,0,41,1
1,"72","8","2,2","2,2",1,"1,0",1,0,19,30,1,1,3,0,10,1,17,1,53,1,35,0
1,"90","15","3,5","3,5",3,"1,7",1,0,19,75,1,0,0,0,10,1,11,1,60,1,49,1
2,"300","7","2,9","2,9",2,"1,6",1,0,24,60,1,1,2,0,20,2,19,1,51,1,32,0
1,"120","10","2,8","2,8",2,"2,0",0,0,19,60,1,0,0,0,NA,NA,7,0,46,1,39,1
2,"90","8","3,0","3,2",2,"",1,0,27,67,1,1,3,0,70,2,14,1,94,1,80,1
1,"36","4","5,0","2,5",4,"",1,0,19,60,1,1,3,0,NA,NA,10,1,24,0,14,0
1,"all","4","3,4","",3,"1,9",0,1,28,100,2,1,2,0,10,1,15,1,38,0,24,0
3,"44","16","2,3","2,3",1,"1,7",0,0,26,60,1,0,0,0,10,1,17,1,52,1,35,0
6,"250","6","2,5","2,5",1,"",0,0,19,60,1,1,3,0,10,1,12,1,68,1,56,1
3,"144","36","1,4","1,4",1,"1,1",1,0,19,85,2,1,2,1,20,2,6,0,45,0,39,1
1,"90","4","2,7","",2,"1,8",1,0,18,65,1,1,2,0,20,2,7,0,57,1,50,1
1,"600","75","2,7","2,7",2,"",0,1,21,20,1,0,0,0,40,2,19,1,61,1,42,1
1,"115","12","4,0","4,8",4,"0,8",0,0,18,100,2,1,1,0,0,1,11,1,41,0,35,0
8,"34","34","3,2","3,2",3,"1,6",1,0,25,80,2,1,1,0,10,1,6,0,44,0,33,0
2,"27","7","4,8","1,2",4,"1,1",1,1,17,70,1,1,1,0,0,1,14,1,121,1,107,1
6,"500","12","2,7","2,7",2,"",1,1,18,80,2,1,1,0,20,2,16,1,58,1,42,1
